Frequence [Hz],Amplitude [mV]
1259921,0.37
1260277,0.383
1260634,0.391
1260990,0.404
1261347,0.412
1261704,0.426
1262061,0.437
1262418,0.451
1262775,0.462
1263132,0.481
1263490,0.5
1263847,0.525
1264205,0.542
1264563,0.573
1264920,0.593
1265278,0.618
1265636,0.659
1265994,0.69
1266352,0.787
1266711,0.904
1267069,1.688
1267428,2.106
1267786,2.317
1268145,2.475
1268504,2.665
1268863,2.822
1269222,2.946
1269581,3.056
1269940,3.121
1270299,3.131
1270659,3.151
1271018,3.123
1271378,3.068
1271737,3.007
1272097,2.922
1272457,2.829
1272817,2.734
1273177,2.639
1273537,2.545
1273898,2.453
1274258,2.355
1274619,2.272
1274979,2.18
1275340,2.087
1275701,2.004
1276062,1.932
1276423,1.865
1276784,1.793
1277145,1.74
1277507,1.671
1277868,1.616
1278230,1.572
1278591,1.526
1278953,1.482
1279315,1.439
1279677,1.398
1280039,1.361
1280401,1.322
1280763,1.303
1281126,1.265
1281488,1.248
1281851,1.23
1282213,1.194
1282576,1.169
1282939,1.154
1283302,1.135
1283665,1.113
1284028,1.091
1284392,1.063
1284755,1.05
1285118,1.032
1285482,1.01
1285846,1.007
1286210,0.991
1286573,0.978
1286937,0.964
1287302,0.964
1287666,0.936
1288030,0.926
1288394,0.923
1288759,0.91
1289124,0.902
1289488,0.891
1289853,0.881
1290218,0.876
1290583,0.871
1290948,0.869
1291314,0.865
1291679,0.851
1292044,0.846
1292410,0.84
1292776,0.816
1293141,0.825
1293507,0.818
1293873,0.808
1294239,0.808
1294605,0.794
1294972,0.781
1295338,0.779
